Model Prediction	Tags	Tokens
O	O	transcriptase
O	O	polymerase
O	O	chain
O	O	reaction
O	O	of
O	O	total
O	O	RNA
O	O	from
O	O	keratinocytes
O	O	incubated
O	O	for
O	O	2
O	O	.
O	O	5
O	O	h
O	O	in
O	O	the
O	O	presence
O	O	or
O	O	absence
O	O	of
O	O	10
O	O	microg
O	O	cycloheximide
O	O	per
O	O	ml
O	O	.
O	O	Using
O	O	this
O	O	approach
O	O	,
O	O	an
O	O	abnormally
O	O	spliced
O	O	transcript
O	O	was
O	O	identified
O	O	that
O	O	contains
O	O	an
O	O	extra
O	O	264
O	O	bases
O	O	upstream
O	O	from
O	O	exon
O	O	32
O	O	,
O	O	resulting
O	O	in
O	O	a
O	O	premature
O	O	termination
O	O	codon
O	O	27
O	O	bp
O	O	downstream
O	O	from
O	O	the
O	O	cryptic
O	O	splice
O	O	site
O	O	.
O	O	Three
O	O	other
O	O	splice
O	O	variants
O	O	,
O	O	including
O	O	one
O	O	derived
O	O	from
O	O	the
O	O	skipping
O	O	of
O	O	exon
O	O	32
O	O	,
O	O	were
O	O	also
O	O	identified
O	O	.
O	O	These
O	O	results
O	O	indicate
O	O	the
O	O	usefulness
O	O	of
O	O	cycloheximide
O	O	treatment
O	O	in
O	O	evaluating
O	O	the
O	O	abnormal
O	O	processing
O	O	of
O	O	mRNA
O	O	due
O	O	to
O	O	splice
O	O	-
O	O	site
O	O	mutations
O	O	,
O	O	because
O	O	(
O	O	i
O	O	)
O	O	aberrant
O	O	splicing
O	O	often
O	O	generates
O	O	a
O	O	premature
O	O	termination
O	O	codon
O	O	,
O	O	(
O	O	ii
O	O	)
O	O	transcripts
O	O	with
O	O	premature
O	O	termination
O	O	codons
O	O	can
O	O	occur
O	O	at
O	O	low
O	O	or
O	O	undetectable
O	O	levels
O	O	due
O	O	to
O	O	nonsense
O	O	-
O	O	mediated
O	O	mRNA
O	O	decay
O	O	,
O	O	and
O	O	(
O	O	iii
O	O	)
O	O	the
O	O	levels
O	O	of
O	O	these
O	O	transcripts
O	O	can
O	O	be
O	O	increased
O	O	by
O	O	cycloheximide
O	O	.
O	O	A
O	O	deletion
O	O	mutation
O	O	in
O	O	COL17A1
O	O	in
O	O	five
O	O	Austrian
O	O	families
O	O	with
B	O	generalized
B	B	atrophic
I	I	benign
I	I	epidermolysis
I	I	bullosa
O	O	represents
O	O	propagation
O	O	of
O	O	an
O	O	ancestral
O	O	allele
O	O	.
O	O	Patients
O	O	with
B	O	generalized
B	B	atrophic
I	I	benign
I	I	epidermolysis
I	I	bullosa
O	O	,
O	O	a
O	O	usually
O	O	nonlethal
O	O	form
O	O	of
B	B	junctional
I	I	epidermolysis
I	I	bullosa
O	O	,
O	O	have
B	O	generalized
B	B	blistering
O	O	,
B	B	nail
I	I	dystrophy
O	O	,
B	B	patchy
I	I	alopecia
O	O	,
O	O	and
B	B	dental
I	I	abnormalities
B	O	.
B	B	Skin
O	I	fragility
O	O	in
O	O	most
O	O	cases
O	O	is
O	O	due
O	O	to
O	O	mutations
O	O	in
O	O	the
O	O	gene
O	O	encoding
O	O	type
O	O	XVII
O	O	collagen
O	O	(
O	O	COL17A1
O	O	)
O	O	.
O	O	Recently
O	O	,
O	O	we
O	O	reported
O	O	five
O	O	Austrian
O	O	families
O	O	with
B	O	generalized
B	B	atrophic
I	I	benign
I	I	epidermolysis
I	I	bullosa
O	O	who
O	O	share
O	O	the
O	O	same
O	O	COL17A1
O	O	mutation
O	O	.
O	O	Affected
O	O	individuals
O	O	in
O	O	three
O	O	families
O	O	are
O	O	homozygous
O	O	for
O	O	4003delTC
O	O	,
O	O	whereas
O	O	those
O	O	in
O	O	two
O	O	others
O	O	are
O	O	compound
O	O	heterozygotes
O	O	.
O	O	To
O	O	determine
O	O	if
O	O	the
O	O	occurrence
O	O	of
O	O	4003delTC
O	O	in
O	O	these
O	O	unrelated
O	O	families
O	O	signifies
O	O	propagation
O	O	of
O	O	an
O	O	ancestral
O	O	allele
O	O	or
O	O	a
O	O	mutational
O	O	hot
O	O	spot
O	O	,
O	O	haplotypes
O	O	were
O	O	determined
O	O	for
O	O	polymorphisms
O	O	both
O	O	within
O	O	and
O	O	flanking
O	O	COL17A1
O	O	.
O	O	Five
O	O	intragenic
O	O	polymorphisms
O	O	were
O	O	chosen
O	O	based
O	O	on
O	O	their
O	O	informativeness
O	O	.
O	O	One
O	O	of
O	O	these
O	O	,
O	O	not
O	O	previously
O	O	reported
O	O	,
O	O	was
O	O	2988
O	O	A
O	O	or
O	O	C
O	O	that
O	O	introduces
O	O	a
O	O	new
O	O	restriction
O	O	site
O	O	for
O	O	Eco0109
O	O	I
O	O	.
O	O	All
O	O	the
O	O	4003delTC
O	O	alleles
O	O	showed
O	O	the
O	O	same
O	O	haplotype
O	O	for
O	O	these
O	O	five
O	O	polymorphic
O	O	markers
O	O	.
O	O	Fourteen
O	O	microsatellite
O	O	polymorphisms
O	O	were
O	O	selected
O	O	based
O	O	on
O	O	their
O	O	high
O	O	heterozygosity
O	O	and
O	O	their
O	O	location
O	O	within
O	O	10q23
O	O	-
O	O	q25
O	O	near
O	O	COL17A1
O	O	.
O	O	Three
O	O	families
O	O	shared
O	O	microsatellite
O	O	polymorphisms
O	O	covering
O	O	at
O	O	most
O	O	19
O	O	cM
O	O	,
O	O	whereas
O	O	the
O	O	others
O	O	shared
O	O	smaller
O	O	regions
O	O	consistent
O	O	with
O	O	cross
O	O	-
O	O	over
O	O	events
O	O	during
O	O	passage
O	O	of
O	O	this
O	O	mutation
O	O	through
O	O	several
O	O	generations
O	O	.
O	O	These
O	O	results
O	O	indicate
O	O	that
O	O	4003delTC
O	O	occurs
O	O	on
O	O	a
O	O	single
O	O	ancestral
O	O	allele
O	O	.
O	O	.
O	O	The
O	O	haptoglobin
O	O	-
O	O	gene
O	O	deletion
O	O	responsible
O	O	for
B	B	anhaptoglobinemia
O	O	.
O	O	We
O	O	have
O	O	found
O	O	an
O	O	allelic
O	O	deletion
O	O	of
O	O	the
O	O	haptoglobin
O	O	(
O	O	Hp
O	O	)
O	O	gene
O	O	from
O	O	an
O	O	individual
O	O	with
B	B	anhaptoglobinemia
O	O	.
O	O	The
O	O	Hp
O	O	gene
O	O	cluster
O	O	consists
O	O	of
O	O	coding
O	O	regions
O	O	of
O	O	the
O	O	alpha
O	O	chain
O	O	and
O	O	beta
O	O	chain
O	O	of
O	O	the
O	O	haptoglobin
O	O	gene
O	O	(
O	O	Hp
O	O	)
O	O	and
O	O	of
O	O	the
O	O	alpha
O	O	chain
O	O	and
O	O	beta
O	O	chain
O	O	of
O	O	the
O	O	haptoglobin
O	O	-
O	O	related
O	O	gene
O	O	(
O	O	Hpr
O	O	)
O	O	,
O	O	in
O	O	tandem
O	O	from
O	O	the
O	O	5
O	O	side
O	O	.
O	O	Southern
O	O	blot
O	O	and
O	O	PCR
O	O	analyses
O	O	have
O	O	indicated
O	O	that
O	O	the
O	O	individual
O	O	with
B	B	anhaptoglobinemia
O	O	was
O	O	homozygous
O	O	for
O	O	the
O	O	gene
O	O	deletion
O	O	and
O	O	that
O	O	the
O	O	gene
O	O	deletion
O	O	was
O	O	included
O	O	at
O	O	least
O	O	from
O	O	the
O	O	promoter
O	O	region
O	O	of
O	O	Hp
O	O	to
O	O	Hpr
O	O	alpha
O	O	but
O	O	not
O	O	to
O	O	Hpr
O	O	beta
O	O	(
O	O	Hpdel
O	O	)
O	O	.
O	O	In
O	O	addition
O	O	,
O	O	we
O	O	found
O	O	seven
O	O	individuals
O	O	with
B	B	hypohaptoglobinemia
O	O	in
O	O	three
O	O	families
O	O	,
O	O	and
O	O	the
O	O	genotypes
O	O	of
O	O	six
O	O	of
O	O	the
O	O	seven
O	O	individuals
O	O	were
O	O	found
O	O	to
O	O	be
O	O	Hp2
O	O	/
O	O	Hpdel
O	O	.
O	O	The
O	O	phenotypes
O	O	and
O	O	genotypes
O	O	in
O	O	one
O	O	of
O	O	these
O	O	three
O	O	families
O	O	showed
O	O	the
O	O	father
O	O	to
O	O	be
B	B	hypohaptoglobinemic
O	O	(
O	O	Hp2
O	O	)
O	O	and
O	O	Hp2
O	O	/
O	O	Hpdel
O	O	,
O	O	the
O	O	mother
O	O	to
O	O	be
O	O	Hp2
O	O	-
O	O	1
O	O	and
O	O	Hp1
O	O	/
O	O	Hp2
O	O	,
O	O	one
O	O	of
O	O	the
O	O	two
O	O	children
O	O	to
O	O	be
B	B	hypohaptoglobinemic
O	O	(
O	O	Hp2
O	O	)
O	O	and
O	O	Hp2
O	O	/
O	O	Hpdel
O	O	,
O	O	and
O	O	the
O	O	other
O	O	child
O	O	to
O	O	be
O	O	Hp1
O	O	and
O	O	Hp1
O	O	/
O	O	Hpdel
O	O	,
O	O	showing
O	O	an
O	O	anomalous
O	O	inheritance
O	O	of
O	O	Hp
O	O	phenotypes
O	O	in
O	O	the
O	O	child
O	O	with
O	O	Hp1
O	O	.
O	O	The
O	O	Hp2
O	O	/
O	O	Hpdel
O	O	individuals
O	O	had
O	O	an
O	O	extremely
O	O	low
O	O	level
O	O	of
O	O	Hp
O	O	(
O	O	mean
O	O	+
O	O	/
O	O	-
O	O	SD
O	O	=
O	O	0
O	O	.
O	O	049
O	O	+
O	O	/
O	O	-
O	O	0
O	O	.
O	O	043
O	O	mg
O	O	/
O	O	ml
O	O	;
O	O	n
O	O	=
O	O	6
O	O	)
O	O	,
O	O	compared
O	O	with
O	O	the
O	O	level
O	O	(
O	O	1
O	O	.
O	O	64
O	O	+
O	O	/
O	O	-
O	O	1
O	O	.
O	O	07
O	O	mg
O	O	/
O	O	ml
O	O	)
O	O	obtained
O	O	from
O	O	52
O	O	healthy
O	O	volunteers
O	O	having
O	O	phenotype
O	O	Hp2
O	O	,
O	O	whereas
O	O	the
O	O	serum
O	O	Hp
O	O	level
O	O	of
O	O	an
O	O	individual
O	O	with
O	O	Hp1
O	O	/
O	O	Hpdel
O	O	was
O	O	0
O	O	.
O	O	50
O	O	mg
O	O	/
O	O	ml
O	O	,
O	O	which
O	O	was
O	O	approximately
O	O	half
O	O	the
O	O	level
O	O	of
O	O	Hp
O	O	in
O	O	control
O	O	sera
O	O	from
O	O	the
O	O	Hp1
O	O	phenotype
O	O	(
O	O	1
O	O	.
O	O	26
O	O	+
O	O	/
O	O	-
O	O	0
O	O	.
O	O	33
O	O	mg
O	O	/
O	O	ml
O	O	;
O	O	n
O	O	=
O	O	9
O	O	)
O	O	,
O	O	showing
O	O	a
O	O	gene
O	O	-
O	O	dosage
O	O	effect
O	O	.
O	O	The
O	O	other
O	O	allele
O	O	(
O	O	Hp2
O	O	)
O	O	of
O	O	individuals
O	O	with
O	O	Hp2
O	O	/
O	O	Hpdel
O	O	was
O	O	found
O	O	to
O	O	have
O	O	,
O	O	in
O	O	all
O	O	exons
O	O	,
O	O	no
O	O	mutation
O	O	,
O	O	by
O	O	DNA
O	O	sequencing
O	O	.
O	O	On
O	O	the
O	O	basis
O	O	of
O	O	the
O	O	present
O	O	study
O	O	,
O	O	the
O	O	mechanism
O	O	of
B	B	anhaptoglobinemia
O	O	and
O	O	the
O	O	mechanism
O	O	of
O	O	anomalous
O	O	inheritance
O	O	of
B	O	Hp
O	O	phenotypes
O	O	were
O	O	well
O	O	explained
O	O	.
O	O	However
O	O	,
O	O	the
O	O	mechanism
O	O	of
B	B	hypohaptoglobinemia
O	O	remains
O	O	unknown
O	O	ATM
O	O	mutations
O	O	and
O	O	phenotypes
O	O	in
B	B	ataxia
I	I	-
I	I	telangiectasia
O	O	families
O	O	in
O	O	the
O	O	British
O	O	Isles
O	O	:
O	O	expression
O	O	of
O	O	mutant
O	O	ATM
O	O	and
O	O	the
O	O	risk
O	O	of
B	B	leukemia
O	O	,
B	B	lymphoma
O	O	,
O	O	and
B	B	breast
I	I	cancer
O	O	.
O	O	We
O	O	report
O	O	the
O	O	spectrum
O	O	of
O	O	59
O	O	ATM
O	O	mutations
O	O	observed
O	O	in
B	B	ataxia
I	I	-
I	I	telangiectasia
O	O	(
B	B	A
I	I	-
I	I	T
O	O	)
O	O	patients
O	O	in
O	O	the
O	O	British
O	O	Isles
O	O	.
O	O	Of
O	O	51
O	O	ATM
O	O	mutations
O	O	identified
O	O	in
O	O	families
O	O	native
O	O	to
O	O	the
O	O	British
O	O	Isles
O	O	,
O	O	11
O	O	were
O	O	founder
O	O	mutations
O	O	,
O	O	and
O	O	2
O	O	of
O	O	these
O	O	11
O	O	conferred
O	O	a
O	O	milder
O	O	clinical
O	O	phenotype
O	O	with
O	O	respect
O	O	to
O	O	both
B	B	cerebellar
I	I	degeneration
O	O	and
O	O	cellular
O	O	features
O	O	.
O	O	We
O	O	report
O	O	,
O	O	in
O	O	two
B	B	A
I	I	-
I	I	T
O	O	families
O	O	,
O	O	an
O	O	ATM
O	O	mutation
O	O	(
O	O	7271T
O	O	-
O	O	-
O	O	>
O	O	G
O	O	)
O	O	that
O	O	may
O	O	be
O	O	associated
O	O	with
O	O	an
O	O	increased
O	O	risk
O	O	of
B	B	breast
I	I	cancer
O	O	in
O	O	both
O	O	homozygotes
O	O	and
O	O	heterozygotes
O	O	(
O	O	relative
O	O	risk
O	O	12
O	O	.
O	O	7
O	O	;
O	O	P
O	O	=
O	O	.
O	O	0025
O	O	)
O	O	,
O	O	although
O	O	there
O	O	is
O	O	a
O	O	less
O	O	severe
B	B	A
I	I	-
I	I	T
O	O	phenotype
O	O	in
O	O	terms
O	O	of
O	O	the
O	O	degree
O	O	of
B	B	cerebellar
I	I	degeneration
O	O	.
O	O	This
O	O	mutation
O	O	(
O	O	7271T
O	O	-
O	O	-
O	O	>
O	O	G
O	O	)
O	O	also
O	O	allows
O	O	expression
O	O	of
O	O	full
O	O	-
O	O	length
O	O	ATM
O	O	protein
O	O	at
O	O	a
O	O	level
O	O	comparable
O	O	with
O	O	that
O	O	in
O	O	unaffected
O	O	individuals
O	O	.
O	O	In
O	O	addition
O	O	,
O	O	we
O	O	have
O	O	studied
O	O	18
B	B	A
I	I	-
I	I	T
O	O	patients
O	O	,
O	O	in
O	O	15
O	O	families
O	O	,
O	O	who
O	O	developed
B	B	leukemia
O	O	,
B	B	lymphoma
O	O	,
B	O	preleukemic
O	O	T
O	O	-
O	O	cell
O	O	proliferation
O	O	,
O	O	or
B	B	Hodgkin
I	I	lymphoma
O	O	,
O	O	mostly
O	O	in
O	O	childhood
O	O	.
O	O	A
O	O	wide
O	O	variety
O	O	of
O	O	ATM
O	O	mutation
O	O	types
O	O	,
O	O	including
O	O	missense
O	O	mutations
O	O	and
O	O	in
O	O	-
O	O	frame
O	O	deletions
O	O	,
O	O	were
O	O	seen
O	O	in
O	O	these
O	O	patients
O	O	.
O	O	We
O	O	also
O	O	show
O	O	that
O	O	25
O	O	%
O	O	of
O	O	all
B	B	A
I	I	-
I	I	T
O	O	patients
O	O	carried
O	O	in
O	O	-
O	O	frame
O	O	deletions
O	O	or
O	O	missense
O	O	mutations
O	O	,
O	O	many
O	O	of
O	O	which
O	O	were
O	O	also
O	O	associated
O	O	with
O	O	expression
O	O	of
O	O	mutant
O	O	ATM
O	O	protein
O	O	.
O	O	The
O	O	DMPK
O	O	gene
O	O	of
O	O	severely
O	O	affected
B	B	myotonic
I	I	dystrophy
O	O	patients
O	O	is
O	O	hypermethylated
O	O	proximal
O	O	to
O	O	the
O	O	largely
O	O	expanded
O	O	CTG
O	O	repeat
O	O	.
O	O	Using
O	O	methylation
O	O	-
O	O	sensitive
O	O	restriction
O	O	enzymes
O	O	,
O	O	we
O	O	characterized
O	O	the
O	O	methylation
O	O	pattern
O	O	on
O	O	the
O	O	5
O	O	side
O	O	of
O	O	the
O	O	CTG
O	O	repeat
O	O	in
O	O	the
O	O	DMPK
O	O	gene
O	O	of
O	O	normal
O	O	individuals
O	O	and
O	O	of
O	O	patients
O	O	affected
O	O	with
B	B	myotonic
I	I	dystrophy
O	O	,
O	O	showing
O	O	expansions
O	O	of
O	O	the
O	O	repetitive
O	O	sequence
O	O	.
O	O	The
O	O	gene
O	O	segment
O	O	analyzed
O	O	corresponds
O	O	to
O	O	the
O	O	genomic
O	O	SacI
O	O	-
O	O	HindIII
O	O	fragment
O	O	carrying
O	O	exons
O	O	11
O	O	-
O	O	15
O	O	.
O	O	There
O	O	is
O	O	constitutive
O	O	methylation
O	O	in
O	O	intron
O	O	12
O	O	at
O	O	restriction
O	O	sites
O	O	of
O	O	SacII
O	O	and
O	O	HhaI
O	O	,
O	O	localized
O	O	1
O	O	,
O	O	159
O	O	-
O	O	1
O	O	,
O	O	232
O	O	bp
O	O	upstream
O	O	of
O	O	the
O	O	CTG
O	O	repeat
O	O	,
O	O	whereas
O	O	most
O	O	,
O	O	if
O	O	not
O	O	all
O	O	,
O	O	of
O	O	the
O	O	other
O	O	sites
O	O	of
O	O	SacII
O	O	,
O	O	HhaI
O	O	,
O	O	and
O	O	HpaII
O	O	in
O	O	this
O	O	region
O	O	are
O	O	unmethylated
O	O	,
O	O	in
O	O	normal
O	O	individuals
O	O	and
O	O	most
O	O	of
O	O	the
O	O	patients
O	O	.
O	O	In
O	O	a
O	O	number
O	O	of
O	O	young
O	O	and
O	O	severely
O	O	affected
O	O	patients
O	O	,
O	O	however
O	O	,
O	O	complete
O	O	methylation
O	O	of
O	O	these
O	O	restriction
O	O	sites
O	O	was
O	O	found
O	O	in
O	O	the
O	O	mutated
O	O	allele
O	O	.
O	O	In
O	O	most
O	O	of
O	O	these
O	O	patients
O	O	,
O	O	the
O	O	onset
O	O	of
O	O	the
O	O	disease
O	O	was
O	O	congenital
O	O	.
O	O	Preliminary
O	O	in
O	O	vivo
O	O	footprinting
O	O	data
O	O	gave
O	O	evidence
O	O	for
O	O	protein
O	O	-
O	O	DNA
O	O	contact
O	O	in
O	O	normal
O	O	genes
O	O	at
O	O	an
O	O	Sp1
O	O	consensus
O	O	binding
O	O	site
O	O	upstream
O	O	of
O	O	the
O	O	CTG
O	O	repeat
O	O	and
O	O	for
O	O	a
O	O	significant
O	O	reduction
O	O	of
O	O	this
O	O	interaction
O	O	in
O	O	cells
O	O	with
O	O	a
O	O	hypermethylated
O	O	DMPK
O	O	gene
O	O	.
O	O	.
O	O	The
B	B	hemochromatosis
O	O	gene
O	O	product
O	O	complexes
O	O	with
O	O	the
O	O	transferrin
O	O	receptor
O	O	and
O	O	lowers
O	O	its
O	O	affinity
O	O	for
O	O	ligand
O	O	binding
O	O	.
O	O	We
O	O	recently
O	O	reported
O	O	the
O	O	positional
O	O	cloning
O	O	of
O	O	a
O	O	candidate
O	O	gene
O	O	for
B	B	hereditary
I	I	hemochromatosis
O	O	called
O	O	HFE
O	O	.
O	O	The
O	O	gene
O	O	product
O	O	,
O	O	a
O	O	member
O	O	of
O	O	the
O	O	major
O	O	histocompatibility
O	O	complex
O	O	class
O	O	I
O	O	-
O	O	like
O	O	family
O	O	,
O	O	was
O	O	found
O	O	to
O	O	have
O	O	a
O	O	mutation
O	O	,
O	O	Cys
O	O	-
O	O	282
O	O	-
O	O	-
O	O	>
O	O	Tyr
O	O	(
O	O	C282Y
O	O	)
O	O	,
O	O	in
O	O	85
O	O	%
O	O	of
O	O	patient
O	O	chromosomes
O	O	.
O	O	This
O	O	mutation
O	O	eliminates
O	O	the
O	O	ability
O	O	of
O	O	HFE
O	O	to
O	O	associate
O	O	with
O	O	beta2
O	O	-
O	O	microglobulin
O	O	(
O	O	beta2m
O	O	)
O	O	and
O	O	prevents
O	O	cell
O	O	-
O	O	surface
O	O	expression
O	O	.
O	O	A
O	O	second
O	O	mutation
O	O	that
O	O	has
O	O	no
O	O	effect
O	O	on
O	O	beta2m
O	O	association
O	O	,
O	O	H63D
O	O	,
O	O	was
O	O	found
O	O	in
O	O	eight
O	O	out
O	O	of
O	O	nine
O	O	patients
O	O	heterozygous
O	O	for
O	O	the
O	O	C282Y
O	O	mutant
O	O	.
O	O	In
O	O	this
O	O	report
O	O	,
O	O	we
O	O	demonstrate
O	O	in
O	O	cultured
O	O	293
O	O	cells
O	O	overexpressing
O	O	wild
O	O	-
O	O	type
O	O	or
O	O	mutant
O	O	HFE
O	O	proteins
O	O	that
O	O	both
O	O	the
O	O	wild
O	O	-
O	O	type
O	O	and
O	O	H63D
O	O	HFE
O	O	proteins
O	O	form
O	O	stable
O	O	complexes
O	O	with
O	O	the
O	O	transferrin
O	O	receptor
O	O	(
O	O	TfR
O	O	)
O	O	.
O	O	The
O	O	C282Y
O	O	mutation
O	O	nearly
O	O	completely
O	O	prevents
O	O	the
O	O	association
O	O	of
O	O	the
O	O	mutant
O	O	HFE
O	O	protein
O	O	with
O	O	the
O	O	TfR
O	O	.
O	O	Studies
O	O	on
O	O	cell
O	O	-
O	O	associated
O	O	transferrin
O	O	at
O	O	37
O	O	degrees
O	O	C
O	O	suggest
O	O	that
O	O	the
O	O	overexpressed
O	O	wild
O	O	-
O	O	type
O	O	HFE
O	O	protein
O	O	decreases
O	O	the
O	O	affinity
O	O	of
O	O	the
O	O	TfR
O	O	for
O	O	transferrin
O	O	.
O	O	The
O	O	overexpressed
O	O	H63D
O	O	protein
O	O	does
O	O	not
O	O	have
O	O	this
O	O	effect
O	O	,
O	O	providing
O	O	the
O	O	first
O	O	direct
O	O	evidence
O	O	for
O	O	a
O	O	functional
O	O	consequence
O	O	of
O	O	the
O	O	H63D
O	O	mutation
O	O	.
O	O	Addition
O	O	of
O	O	soluble
O	O	wild
O	O	-
O	O	type
O	O	HFE
O	O	/
O	O	beta2m
O	O	heterodimers
O	O	to
O	O	cultured
O	O	cells
O	O	also
O	O	decreased
O	O	the
O	O	apparent
O	O	affinity
O	O	of
O	O	the
O	O	TfR
O	O	for
O	O	its
O	O	ligand
O	O	under
O	O	steady
O	O	-
O	O	state
O	O	conditions
O	O	,
O	O	both
O	O	in
O	O	293
O	O	cells
O	O	and
O	O	in
O	O	HeLa
O	O	cells
O	O	.
O	O	Furthermore
O	O	,
O	O	at
O	O	4
O	O	degrees
O	O	C
O	O	,
O	O	the
O	O	added
O	O	soluble
O	O	complex
O	O	of
O	O	HFE
O	O	/
O	O	beta2m
O	O	inhibited
O	O	binding
O	O	of
O	O	transferrin
O	O	to
O	O	HeLa
O	O	cell
O	O	TfR
O	O	in
O	O	a
O	O	concentration
O	O	-
O	O	dependent
O	O	manner
O	O	.
O	O	Scatchard
O	O	plots
O	O	of
O	O	these
O	O	data
O	O	indicate
O	O	that
O	O	the
O	O	added
O	O	heterodimer
O	O	substantially
O	O	reduced
O	O	the
O	O	affinity
O	O	of
O	O	TfR
O	O	for
O	O	transferrin
O	O	.
O	O	These
O	O	results
O	O	establish
O	O	a
O	O	molecular
O	O	link
O	O	between
O	O	HFE
O	O	and
O	O	a
O	O	key
O	O	protein
O	O	involved
O	O	in
O	O	iron
O	O	transport
O	O	,
O	O	the
O	O	TfR
O	O	,
O	O	and
O	O	raise
O	O	the
O	O	possibility
O	O	that
O	O	alterations
O	O	in
O	O	this
O	O	regulatory
O	O	mechanism
O	O	may
O	O	play
O	O	a
O	O	role
O	O	in
O	O	the
O	O	pathogenesis
O	O	of
B	B	hereditary
I	I	hemochromatosis
O	O	.
O	O	.
O	O	Genomic
O	O	organization
O	O	of
O	O	the
O	O	UBE3A
O	O	/
O	O	E6
O	O	-
O	O	AP
O	O	gene
O	O	and
O	O	related
O	O	pseudogenes
O	O	.
O	O	The
O	O	UBE3A
O	O	gene
O	O	encodes
O	O	the
O	O	E6
O	O	-
O	O	AP
O	O	ubiquitin
O	O	-
O	O	protein
O	O	ligase
O	O	and
O	O	has
O	O	recently
O	O	been
O	O	shown
O	O	to
O	O	be
O	O	mutated
O	O	in
B	B	Angelman
I	I	syndrome
O	O	patients
O	O	who
O	O	lack
O	O	15q11
O	O	-
O	O	q13
O	O	deletions
O	O	or
O	O	chromosome
O	O	15
O	O	paternal
I	B	uniparental
I	I	disomy
O	O	.
O	O	Previous
O	O	UBE3A
O	O	cDNA
O	O	analysis
O	O	has
O	O	shown
O	O	a
O	O	coding
O	O	region
O	O	of
O	O	approximately
O	O	2
O	O	.
O	O	6
O	O	kb
O	O	and
O	O	a
O	O	3
O	O	-
O	O	untranslated
O	O	region
O	O	(
O	O	UTR
O	O	)
O	O	of
O	O	<
O	O	50
O	O	bp
O	O	,
O	O	whereas
O	O	Northern
O	O	analysis
O	O	has
O	O	indicated
O	O	mRNA
O	O	sizes
O	O	of
O	O	5
O	O	-
O	O	8
O	O	kb
O	O	.
O	O	We
O	O	have
O	O	analyzed
O	O	additional
O	O	cDNA
O	O	clones
O	O	and
O	O	provide
O	O	evidence
O	O	for
O	O	an
O	O	additional
O	O	0
O	O	.
O	O	5
O	O	kb
O	O	of
O	O	5
O	O	-
O	O	UTR
O	O	and
O	O	>
O	O	2
O	O	kb
O	O	of
O	O	3
O	O	-
O	O	UTR
O	O	.
O	O	We
O	O	have
O	O	established
O	O	the
O	O	genomic
O	O	organization
O	O	of
O	O	UBE3A
O	O	and
O	O	the
O	O	sequence
O	O	of
O	O	intron
O	O	-
O	O	exon
O	O	borders
O	O	.
O	O	We
O	O	have
O	O	also
O	O	mapped
O	O	two
O	O	highly
O	O	homologous
O	O	processed
O	O	pseudogenes
O	O	,
O	O	UBE3AP1
O	O	and
O	O	UBE3AP2
O	O	,
O	O	to
O	O	chromosomes
O	O	2
O	O	and
O	O	21
O	O	,
O	O	respectively
O	O	,
O	O	and
O	O	determined
O	O	their
O	O	genomic
O	O	organization
O	O	.
O	O	These
O	O	results
O	O	will
O	O	form
O	O	the
O	O	basis
O	O	for
O	O	studies
O	O	of
O	O	mutation
O	O	and
O	O	imprinting
O	O	of
O	O	UBE3A
O	O	.
O	O	Mutation
O	O	spectrum
O	O	and
O	O	genotype
O	O	-
O	O	phenotype
O	O	analyses
O	O	in
B	B	Cowden
I	I	disease
O	O	and
B	B	Bannayan
I	I	-
I	I	Zonana
I	I	syndrome
O	O	,
O	O	two
B	B	hamartoma
I	I	syndromes
O	O	with
O	O	germline
O	O	PTEN
O	O	mutation
O	O	.
O	O	The
B	B	tumour
O	O	suppressor
O	O	gene
O	O	PTEN
O	O	,
O	O	which
O	O	maps
O	O	to
O	O	10q23
O	O	.
O	O	3
O	O	and
O	O	encodes
O	O	a
O	O	403
O	O	amino
O	O	acid
O	O	dual
O	O	specificity
O	O	phosphatase
O	O	(
O	O	protein
O	O	tyrosine
O	O	phosphatase
O	O	;
O	O	PTPase
O	O	)
O	O	,
O	O	was
O	O	shown
O	O	recently
O	O	to
O	O	play
O	O	a
O	O	broad
O	O	role
O	O	in
O	O	human
B	B	malignancy
O	O	.
O	O	Somatic
O	O	PTEN
O	O	deletions
O	O	and
O	O	mutations
O	O	were
O	O	observed
O	O	in
O	B	sporadic
B	I	breast
I	I	,
I	I	brain
I	I	,
I	I	prostate
I	I	and
I	I	kidney
I	I	cancer
O	O	cell
O	O	lines
O	O	and
O	O	in
O	O	several
B	O	primary
I	B	tumours
O	O	such
O	O	as
B	B	endometrial
I	I	carcinomas
O	O	,
B	B	malignant
I	I	melanoma
O	O	and
B	B	thyroid
I	I	tumours
O	O	.
O	O	In
O	O	addition
O	O	,
O	O	PTEN
O	O	was
O	O	identified
O	O	as
O	O	the
O	O	susceptibility
O	O	gene
O	O	for
O	O	two
B	B	hamartoma
I	I	syndromes
B	B	Cowden
I	I	disease
O	O	(
B	B	CD
O	O	;
O	O	MIM
O	O	158350
O	O	)
O	O	and
B	B	Bannayan
I	I	-
I	I	Zonana
O	I	(
B	I	BZS
O	I	)
O	I	or
B	I	Ruvalcaba
I	I	-
O	I	Riley
I	I	-
O	I	Smith
I	I	syndrome
O	O	(
O	O	MIM
O	O	153480
O	O	)
O	O	.
O	O	Constitutive
O	O	DNA
O	O	from
O	O	37
